Stock ID,Serial Number,Factory,Picture,Comment,Mac address,Type,Atex Environment,Sensor data Status
WMBE0115656_Cargill US Guntersville AL 1CIE_bde02347,WMBE0115656,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115656_Cargill US Guntersville_17390574253922376364.Picture.184408.jpg,,,,Non-Atex,
WMBE0115640_Cargill US Guntersville AL 1CIE_add5f1de,WMBE0115640,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115640_Cargill US Guntersville_6513852456932326872.Picture.184419.jpg,,E126022A288B,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116344_Cargill US Guntersville AL 1CIE_de9a4602,WMBE0116344,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116344_Cargill US Guntersville_2346882576818084139.Picture.184456.jpg,,E12602140231,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116399_Cargill US Guntersville AL 1CIE_21de5a99,WMBE0116399,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116399_Cargill US Guntersville_14193457305115326684.Picture.184514.jpg,,E126027ED902,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115671_Cargill US Guntersville AL 1CIE_e76a36cc,WMBE0115671,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115671_Cargill US Guntersville_113683408178228870.Picture.184541.jpg,,E1270098A7AD,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115660_Cargill US Guntersville AL 1CIE_683c571f,WMBE0115660,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115660_Cargill US Guntersville_8185197491655681885.Picture.184613.jpg,,E126023CB8B1,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115669_Cargill US Guntersville AL 1CIE_802675f0,WMBE0115669,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115669_Cargill US Guntersville_8629988200341531963.Picture.184634.jpg,,E1270098A413,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116392_Cargill US Guntersville AL 1CIE_bc27bbc4,WMBE0116392,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116392_Cargill US Guntersville_204855451793519402.Picture.184654.jpg,,E12602BAD8F1,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115665_Cargill US Guntersville AL 1CIE_5a712f35,WMBE0115665,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115665_Cargill US Guntersville_5223999704129357951.Picture.184714.jpg,,E1270098AA57,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115662_Cargill US Guntersville AL 1CIE_636bef53,WMBE0115662,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115662_Cargill US Guntersville_11810583343963080288.Picture.184745.jpg,,E126023CADC8,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115666_Cargill US Guntersville AL 1CIE_a58e6596,WMBE0115666,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115666_Cargill US Guntersville_5137733764774633407.Picture.184811.jpg,,E12700989FE9,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116386_Cargill US Guntersville AL 1CIE_251e17b4,WMBE0116386,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116386_Cargill US Guntersville_17504785403782581047.Picture.184832.jpg,,E12602BAD396,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115667_Cargill US Guntersville AL 1CIE_b3f66126,WMBE0115667,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115667_Cargill US Guntersville_252247866945640045.Picture.184855.jpg,,E12700989F9D,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115658_Cargill US Guntersville AL 1CIE_ac70b5e4,WMBE0115658,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115658_Cargill US Guntersville_1688517203757728706.Picture.184927.jpg,,E126023CAC42,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116338_Cargill US Guntersville AL 1CIE_0b43e882,WMBE0116338,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116338_Cargill US Guntersville_193319520338448703.Picture.185003.jpg,,E126023D3525,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0116327_Cargill US Guntersville AL 1CIE_b3d471e9,WMBE0116327,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0116327_Cargill US Guntersville_2765056352885601182.Picture.185025.jpg,,E126027ED685,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115661_Cargill US Guntersville AL 1CIE_39815b0a,WMBE0115661,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115661_Cargill US Guntersville_16905489784641997114.Picture.185052.jpg,,E1270098A3C6,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115648_Cargill US Guntersville AL 1CIE_532c5d9f,WMBE0115648,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115648_Cargill US Guntersville_6037230568892789381.Picture.185124.jpg,,E126022A2BEE,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
WMBE0115692_Cargill US Guntersville AL 1CIE_2f20f8e7,WMBE0115692,Cargill US Guntersville AL 1CIE,Cargill/Cargill US Guntersville AL 1CIE/Stock files/WMBE0115692_Cargill US Guntersville_5960594135645209103.Picture.185143.jpg,,E12602143400,WM50033114108,Non-Atex,Found in BigQuery PR01 & WCDH
